Animal_Number,year,month,age,Lactation_Number,Days_In_Milk,RT_mean,RT_variance,AT_mean,AT_variance,temperature_mean,temperature_variance,humidity_mean,humidity_variance,solarradiation_mean,solarradiation_variance,THI_mean,THI_variance,MY1,MY2
56936,2024,3,2.65205479452055,1,245,587.866666666667,23482.8380952381,459.6,14068.2571428571,53.72,3.916,72.44,5.80685714285714,167.56,1967.47542857143,37.949916,4.64646351086342,46.59750616,34.4853037828571
56938,2023,10,2.3013698630137,1,151,542.266666666667,18375.780952381,495.333333333333,16466.2380952381,61.5333333333333,50.4866666666667,58.8466666666667,87.5040952380952,143.12,663.056,44.2516066,52.4655061113216,34.18722904,32.1648567085714
56939,2023,12,2.45479452054795,1,219,476.4,19570.1142857143,348.266666666667,8442.20952380952,52.5333333333333,19.1009523809524,76.1,119.051428571429,67.3666666666667,887.816666666667,39.0450475333333,43.8100596019408,15.70789096,28.4460502971429
56943,2023,10,2.27945205479452,1,150,515.333333333333,18813.8095238095,400.0,10484.7142857143,66.6666666666667,12.3095238095238,59.92,72.5831428571429,166.4,1007.52142857143,49.2929982666667,9.41607271720206,40.42865496,42.4361235542857
56948,2023,11,2.33424657534247,1,168,455.933333333333,15128.4952380952,505.866666666667,16770.6952380952,57.4466666666667,15.828380952381,58.5266666666667,101.632095238095,138.953333333333,96.9640952380952,40.2862039333333,16.4956387532229,37.97925816,35.7968326514286
56961,2023,11,2.33150684931507,1,155,532.933333333333,21583.3523809524,478.533333333333,15514.1238095238,57.4466666666667,15.828380952381,58.5266666666667,101.632095238095,138.953333333333,96.9640952380952,40.2862039333333,16.4956387532229,37.87946792,40.5595486514286
56965,2024,2,2.61917808219178,1,256,547.266666666667,3677.92380952381,458.133333333333,510.266666666667,54.9066666666667,6.98495238095238,74.2,16.6942857142857,163.28,2576.90028571429,39.7981578666667,5.65912936165169,45.43177472,38.6032711542857
56966,2023,7,2.01917808219178,1,56,361.928571428571,15666.2252747253,443.785714285714,14810.3351648352,85.1928571428572,11.0868681318681,42.9428571428571,19.0918681318681,308.464285714286,1335.44554945055,69.2705897142857,13.4793845689365,43.78069984,39.3413301371429
56969,2024,3,2.64383561643836,1,281,521.733333333333,17044.4952380952,472.266666666667,15258.6380952381,53.72,3.916,72.44,5.80685714285714,167.56,1967.47542857143,37.949916,4.64646351086342,29.75109928,24.9806074171429
56994,2023,12,2.42191780821918,1,211,484.933333333333,30786.2095238095,406.133333333333,24002.1238095238,49.5,32.8328571428571,70.4133333333333,86.4769523809524,81.6866666666667,941.538380952381,33.9053117333333,62.1724826541068,20.97863,32.9437389714286
56997,2023,9,2.2,1,63,537.133333333333,20464.1238095238,491.133333333333,15953.980952381,68.9533333333333,7.56695238095238,58.7533333333333,26.3869523809524,199.206666666667,795.712095238095,51.1039684666667,5.23694830742212,48.76114,42.7426221485714
56999,2023,8,2.04657534246575,1,50,482.4,18325.9714285714,436.333333333333,11664.8095238095,80.9866666666667,16.1612380952381,42.5733333333333,52.616380952381,299.806666666667,228.079238095238,65.4808936,27.5603421195704,49.14215728,41.1751377942857
